,round,roster_id,player_id,picked_by,pick_no,metadata,is_keeper,draft_slot,draft_id
40,4,1,6970,499807936168587264,41,"{'years_exp': '2', 'team': 'CAR', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'TE', 'player_id': '6970', 'number': '84', 'news_updated': '1655853941338', 'last_name': 'Sullivan', 'injury_status': '', 'first_name': 'Stephen', 'amount': '1'}",False,9,863992501013442560
41,4,2,8167,860010058744963072,42,"{'years_exp': '0', 'team': 'GB', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'WR', 'player_id': '8167', 'number': '9', 'news_updated': '1662406236360', 'last_name': 'Watson', 'injury_status': 'Questionable', 'first_name': 'Christian', 'amount': '9'}",,5,863992501013442560
42,4,12,6130,860011165475012608,43,"{'years_exp': '3', 'team': 'BUF', 'status': 'Active', 'sport': 'nfl', 'slot': '7', 'position': 'RB', 'player_id': '6130', 'number': '26', 'news_updated': '1661575215947', 'last_name': 'Singletary', 'injury_status': '', 'first_name': 'Devin', 'amount': '16'}",,7,863992501013442560
43,4,4,5185,741506726259523584,44,"{'years_exp': '4', 'team': 'GB', 'status': 'Active', 'sport': 'nfl', 'slot': '8', 'position': 'WR', 'player_id': '5185', 'number': '13', 'news_updated': '1662405936476', 'last_name': 'Lazard', 'injury_status': 'Questionable', 'first_name': 'Allen', 'amount': '11'}",,8,863992501013442560
44,4,2,7568,860010058744963072,45,"{'years_exp': '1', 'team': 'HOU', 'status': 'Active', 'sport': 'nfl', 'slot': '5', 'position': 'TE', 'player_id': '7568', 'number': '9', 'news_updated': '1661015158768', 'last_name': 'Jordan', 'injury_status': '', 'first_name': 'Brevin', 'amount': '3'}",,5,863992501013442560
45,4,1,8131,499807936168587264,46,"{'years_exp': '0', 'team': 'BAL', 'status': 'Active', 'sport': 'nfl', 'slot': '9', 'position': 'TE', 'player_id': '8131', 'number': '80', 'news_updated': '1661162704017', 'last_name': 'Likely', 'injury_status': '', 'first_name': 'Isaiah', 'amount': '5'}",,9,863992501013442560
46,4,5,2306,860612709442498560,47,"{'years_exp': '7', 'team': 'NO', 'status': 'Active', 'sport': 'nfl', 'slot': '1', 'position': 'QB', 'player_id': '2306', 'number': '2', 'news_updated': '1661571915601', 'last_name': 'Winston', 'injury_status': '', 'first_name': 'Jameis', 'amount': '5'}",,1,863992501013442560
47,4,10,4033,860019033666338816,48,"{'years_exp': '5', 'team': 'CLE', 'status': 'Active', 'sport': 'nfl', 'slot': '11', 'position': 'TE', 'player_id': '4033', 'number': '85', 'news_updated': '1662137148854', 'last_name': 'Njoku', 'injury_status': '', 'first_name': 'David', 'amount': '9'}",,11,863992501013442560
48,5,10,1264,860019033666338816,49,"{'years_exp': '10', 'team': 'BAL', 'status': 'Active', 'sport': 'nfl', 'slot': '11', 'position': 'K', 'player_id': '1264', 'number': '9', 'news_updated': '1661195407916', 'last_name': 'Tucker', 'injury_status': '', 'first_name': 'Justin', 'amount': '6'}",,11,863992501013442560
49,5,6,4981,741517785796116480,50,"{'years_exp': '4', 'team': 'ATL', 'status': 'Inactive', 'sport': 'nfl', 'slot': '10', 'position': 'WR', 'player_id': '4981', 'number': '18', 'news_updated': '1646947237717', 'last_name': 'Ridley', 'injury_status': 'Sus', 'first_name': 'Calvin', 'amount': '2'}",,10,863992501013442560
